Channel,Segmentation Code,Store Name,Store Status
FRANCHISE,BAD_BIRD,BAD BIRD MANILA,ACTIVE
OWNED,COMMISSARY,COMMISSARY SAN JUAN,ACTIVE
OWNED,COMMISSARY,COMMISSARY CAVITE,ACTIVE
PARTNER,FLOWER_BOY,FLOWERBOY THE GRID,ACTIVE
OWNED,TSUKE_MEN,TSUKE-MEN THE GRID,ACTIVE
PARTNER,GOCHUGANG,GOCHU GANG THE GRID,ACTIVE
PARTNER,BEEFIER,BEEFIER THE GRID,ACTIVE
PARTNER,BABU,BABU THE GRID,ACTIVE
PARTNER,SAMYAN_KITCHEN,SAMYAN THE GRID,ACTIVE
PARTNER,GRAINIVORE,GRANIVORE THE GRID,ACTIVE
OWNED,WRONG_RAMEN,WRONG RAMEN HYDRA,ACTIVE
PARTNER,YOUR_LOCAL,YOUR LOCAL MAKATI,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN TRINOMA,ACTIVE
PARTNER,FOWL_BREAD,FOWL BREAD BGC,ACTIVE
FRANCHISE,BAD_BIRD,BAD BIRD SERENDRA,ACTIVE
OWNED,CUBA_LIBRE,CUBA LIBRE THE GRID,ACTIVE
PARTNER,BAD_BIRD,BAD BIRD MEGAMALL,ACTIVE
PARTNER,YOUR_LOCAL,YOUR LOCAL THE GRID,ACTIVE
PARTNER,BAD_BIRD,BAD BIRD HITW,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN THE GROVE,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN SERENDRA,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN SANTOLAN,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN MARILAO,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN FORBESTOWN,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN ATC,ACTIVE
FRANCHISE,SCOUTS_HONOR,SCOUT'S HONOR FAIRVIEW,ACTIVE
FRANCHISE,SCOUTS_HONOR,SCOUT'S HONOR MANILA,ACTIVE
FRANCHISE,SCOUTS_HONOR,SCOUT'S HONOR NORTH EDSA,ACTIVE
FRANCHISE,SCOUTS_HONOR,SCOUT'S HONOR SANTOLAN,ACTIVE
FRANCHISE,SCOUTS_HONOR,SCOUT'S HONOR UP TOWN CENTER,ACTIVE
FRANCHISE,BBX,BBX GLORIETTA,ACTIVE
OWNED,THE_GRID,THE GRID ROCKWELL,ACTIVE
OWNED,SCOUTS_KITCHEN,SCOUT'S KITCHEN,ACTIVE
OWNED,SCOUTS_HONOR,SCOUT'S HONOR UPTOWN,ACTIVE
OWNED,SCOUTS_HONOR,SCOUT'S HONOR VERTIS,ACTIVE
OWNED,WORKSHOP,WORKSHOP THE GRID,ACTIVE
OWNED,EAT_YOURSELF_BANKRUPT,EAT YOURSELF BANKRUPT MANILA,ACTIVE
OWNED,PIZZA_EXPRESS,PIZZA EXPRESS MEGAMALL,ACTIVE
OWNED,PIZZA_EXPRESS,PIZZA EXPRESS UPTOWN,ACTIVE
OWNED,LE_PETIT_SOUFFLE,LE PETIT SOUFFLE CCM,ACTIVE
OWNED,POISON,POISON HYDRA,ACTIVE
OWNED,POSPORO,POSPORO HITW,ACTIVE
OWNED,HOLE_IN_THE_WALL,HOLE IN THE WALL CCM,ACTIVE
OWNED,WORKSHOP,WORKSHOP HITW,ACTIVE
OWNED,HANAMARUKEN,HANAMARUKEN HITW,ACTIVE
OWNED,SLABBERS,SLABBERS HITW,ACTIVE
OWNED,PUBLIC_EATERY,PUBLIC EATERY,ACTIVE
FRANCHISE,RAMEN_BAR,RAMEN BAR,ACTIVE
OWNED,SCOUTS_PASTRY,SCOUT'S PASTRY,ACTIVE
OWNED,CHAMPION_HOTPOT,CHAMPION HOTPOT,ACTIVE
EXTERNAL,THE_DAILY_CUT,THE DAILY CUT,ACTIVE
